180.63,3771.7
180.83,3804.03
181.03,3833.12
181.23,3859.31
181.43,3789.68
181.63,3726.21
181.83,3763.09
182.03,3796.28
182.23,3826.15
182.43,3853.04
182.63,3784.03
182.83,3720.93
183.03,3758.34
183.23,3792
183.43,3822.3
183.63,3849.57
183.83,3874.12
184.03,3803
184.23,3738.4
184.43,3774.06
184.63,3806.16
184.83,3835.04
185.03,3861.04
185.23,3791.43
185.43,3727.89
185.63,3764.6
185.83,3797.64
186.03,3827.38
186.23,3854.14
186.43,3785.63
186.63,3722.66
186.83,3759.9
187.03,3793.41
187.23,3823.57
187.43,3850.71
187.63,3782.34
187.83,3720
188.03,3757.5
188.23,3791.25
188.43,3821.63
188.63,3848.97
188.83,3873.57
189.03,3803.71
189.23,3740.44
189.43,3775.9
189.63,3807.81
189.83,3836.53
190.03,3862.37
190.23,3793.64
190.43,3731.47
190.63,3767.83
