7.03,26.39
8.03,26.11
9.03,25.89
10.03,25.82
11.03,25.68
12.03,25.58
13.03,25.37
14.03,29.37
15.03,33.39
16.03,34.81
17.03,36.02
18.03,36.69
19.03,37.93
20.03,37.93
21.03,37.93
22.03,37.93
23.03,37.93
24.03,37.93
25.03,35.87
26.03,34.73
27.03,33.73
28.03,32.93
29.03,32.22
30.03,31.43
31.03,30.98
32.03,30.32
33.03,29.92
34.03,29.29
35.03,28.79
36.03,28.53
37.03,28.17
38.03,27.92
39.03,27.6
40.03,27.28
41.03,27.1
42.03,26.78
43.03,26.49
44.03,26.35
45.03,26.21
46.03,25.93
47.03,25.89
48.03,25.86
49.03,25.86
50.03,25.79
51.03,25.75
